,Text,Ground-Truth,Rank,All-Ranks,Prediction,Candidates,LR-distances,LD-distances,LRD-distances,ARD-distances,LARD-distances
462,A red bell pepper with a store label on it.,bell_pepper_2_1,0,[0 3 4 1 2],bell_pepper_2_1,"['bell_pepper_2_1' 'cell_phone_1_2' 'eye_glasses_4_2' 'lime_4_2'
 'book_2_4']",[0.19 0.58 0.59 0.52 0.53],[0.2  0.58 0.58 0.48 0.49],[0.2  0.58 0.59 0.5  0.51],[0.21 0.58 0.77 0.49 0.49],[0.2  0.58 0.68 0.49 0.5 ]
463,a red pepper with sticker,bell_pepper_2_1,0,[0 1 4 3 2],bell_pepper_2_1,"['bell_pepper_2_1' 'coffee_mug_4_3' 'mouse_1_1' 'scissors_3_3'
 'can_opener_5_4']",[0.11 0.42 0.61 0.53 0.6 ],[0.18 0.42 0.61 0.66 0.48],[0.15 0.42 0.61 0.6  0.54],[0.25 0.46 0.56 0.63 0.54],[0.2  0.44 0.58 0.61 0.54]
464,"This is a red pepper, with a green stem. It has a sticker on it.",bell_pepper_2_1,0,[0 3 4 1 2],bell_pepper_2_1,"['bell_pepper_2_1' 'water_bottle_5_4' 'water_bottle_5_4' 'coffee_mug_3_1'
 'water_bottle_5_1']",[0.09 0.57 0.57 0.44 0.57],[0.18 0.59 0.59 0.41 0.55],[0.14 0.58 0.58 0.43 0.56],[0.47 0.49 0.49 0.28 0.48],[0.3  0.54 0.54 0.35 0.52]
465,A red bell pepper.,bell_pepper_2_1,0,[0 3 4 2 1],bell_pepper_2_1,['bell_pepper_2_1' 'sponge_1_3' 'marker_3_1' 'gauze_2_2' 'food_can_5_2'],[0.12 0.55 0.6  0.69 0.35],[0.2  0.64 0.6  0.5  0.38],[0.16 0.6  0.6  0.59 0.37],[0.27 0.54 0.47 0.58 0.38],[0.22 0.57 0.53 0.58 0.37]
466,It is a red bell pepper with a sticker.,bell_pepper_2_1,0,[0 3 4 1 2],bell_pepper_2_1,"['bell_pepper_2_1' 'spoon_1_3' 'pencil_5_2' 'lightbulb_3_1'
 'picture_frame_3_1']",[0.1  0.55 0.56 0.39 0.5 ],[0.19 0.51 0.61 0.43 0.53],[0.15 0.53 0.58 0.41 0.51],[0.27 0.47 0.36 0.42 0.46],[0.21 0.5  0.47 0.41 0.49]
467,The object is a red bell pepper.,bell_pepper_2_1,0,[0 4 3 1 2],bell_pepper_2_1,"['bell_pepper_2_1' 'scissors_2_3' 'toothpaste_2_4' 'mouse_2_3'
 'stapler_3_2']",[0.1  0.73 0.66 0.48 0.56],[0.19 0.6  0.54 0.55 0.61],[0.15 0.66 0.6  0.51 0.59],[0.23 0.46 0.51 0.37 0.45],[0.19 0.56 0.56 0.44 0.52]
468,This is a red bell pepper. It has a green stem.,bell_pepper_2_1,0,[0 1 3 2 4],bell_pepper_2_1,['bell_pepper_2_1' 'shampoo_5_2' 'syringe_2_4' 'lemon_2_4' 'mouse_2_3'],[0.1  0.41 0.51 0.43 0.51],[0.2  0.36 0.42 0.46 0.55],[0.15 0.39 0.47 0.44 0.53],[0.33 0.44 0.33 0.32 0.41],[0.24 0.41 0.4  0.38 0.47]
469,A ripe red bell pepper with a sturdy green stem on its top and a produce sticker applied to its side.,bell_pepper_2_1,0,[0 3 2 1 4],bell_pepper_2_1,"['bell_pepper_2_1' 'spoon_4_2' 'coffee_mug_5_1' 'bowl_5_4'
 'prescription_medicine_bottle_3_3']",[0.12 0.56 0.51 0.4  0.58],[0.22 0.56 0.49 0.46 0.6 ],[0.17 0.56 0.5  0.43 0.59],[0.25 0.51 0.34 0.34 0.46],[0.21 0.54 0.42 0.38 0.53]
470,It is a black stapler.,stapler_2_1,0,[0 4 2 1 3],stapler_2_1,['stapler_2_1' 'tissue_box_1_3' 'pencil_4_4' 'band_aid_1_1' 'pliers_2_3'],[0.09 0.62 0.4  0.42 0.47],[0.17 0.6  0.48 0.44 0.41],[0.13 0.61 0.44 0.43 0.44],[0.45 0.52 0.37 0.49 0.47],[0.29 0.56 0.4  0.46 0.46]
471,It is a USB computer mouse.,mouse_1_1,0,[0 4 1 2 3],mouse_1_1,"['mouse_1_1' 'lime_3_1' 'picture_frame_1_2' 'food_can_2_1'
 'screwdriver_4_3']",[0.27 0.64 0.41 0.45 0.61],[0.24 0.65 0.44 0.5  0.56],[0.25 0.64 0.42 0.47 0.58],[0.5  0.36 0.41 0.43 0.33],[0.37 0.5  0.42 0.45 0.46]
472,The object is a black swingline stapler.,stapler_2_1,0,[0 3 1 4 2],stapler_2_1,"['stapler_2_1' 'spoon_1_3' 'can_opener_2_1' 'water_bottle_3_3'
 'measuring_tape_1_1']",[0.16 0.47 0.26 0.58 0.42],[0.2  0.44 0.25 0.71 0.25],[0.18 0.46 0.26 0.65 0.34],[0.27 0.58 0.44 0.65 0.35],[0.23 0.52 0.35 0.65 0.35]
473,The object is a black corded USB mouse.,mouse_1_1,0,[0 3 4 2 1],mouse_1_1,['mouse_1_1' 'hammer_4_2' 'water_bottle_5_1' 'lemon_3_4' 'pliers_4_1'],[0.31 0.36 0.65 0.46 0.42],[0.28 0.6  0.54 0.5  0.42],[0.3  0.48 0.6  0.48 0.42],[0.39 0.55 0.31 0.43 0.46],[0.34 0.52 0.45 0.45 0.44]
474,This is a stapler. It's used to combine a bunch of pages together.,stapler_2_1,0,[0 4 2 3 1],stapler_2_1,['stapler_2_1' 'book_3_1' 'picture_frame_4_2' 'potato_5_1' 'potato_2_1'],[0.2  0.49 0.38 0.47 0.44],[0.25 0.46 0.47 0.45 0.39],[0.23 0.47 0.43 0.46 0.41],[0.29 0.53 0.49 0.61 0.54],[0.26 0.5  0.46 0.53 0.47]
475,"This is a mouse, which controls where you go on a computer screen.",mouse_1_1,0,[0 1 4 3 2],mouse_1_1,"['mouse_1_1' 'stapler_2_1' 'water_bottle_1_4'
 'prescription_medicine_bottle_3_4' 'pencil_1_1']",[0.26 0.39 0.67 0.64 0.52],[0.25 0.4  0.67 0.65 0.58],[0.25 0.39 0.67 0.65 0.55],[0.46 0.45 0.3  0.3  0.46],[0.36 0.42 0.49 0.48 0.5 ]
476,This is  black desk stapler,stapler_2_1,0,[0 4 1 2 3],stapler_2_1,"['stapler_2_1' 'book_4_4' 'measuring_tape_1_3' 'syringe_2_4'
 'bell_pepper_2_2']",[0.15 0.6  0.27 0.27 0.56],[0.23 0.65 0.29 0.31 0.55],[0.19 0.63 0.28 0.29 0.56],[0.27 0.49 0.31 0.37 0.58],[0.23 0.56 0.3  0.33 0.57]
477,This is a black computer mouse with the usb cable attached,mouse_1_1,0,[0 2 3 1 4],mouse_1_1,['mouse_1_1' 'soda_bottle_5_2' 'band_aid_5_3' 'scissors_2_3' 'fork_5_1'],[0.24 0.49 0.5  0.43 0.63],[0.25 0.55 0.55 0.53 0.61],[0.25 0.52 0.53 0.48 0.62],[0.35 0.39 0.38 0.52 0.41],[0.3  0.46 0.45 0.5  0.52]
478,A black stapler.,stapler_2_1,0,[0 4 1 3 2],stapler_2_1,['stapler_2_1' 'book_5_4' 'syringe_2_4' 'syringe_5_3' 'marker_2_1'],[0.1  0.78 0.27 0.46 0.5 ],[0.19 0.78 0.28 0.56 0.3 ],[0.14 0.78 0.28 0.51 0.4 ],[0.3  0.71 0.36 0.5  0.46],[0.22 0.74 0.32 0.51 0.43]
479,A wired black computer mouse with USB connector.,mouse_1_1,0,[0 4 1 3 2],mouse_1_1,['mouse_1_1' 'pencil_3_4' 'plate_3_1' 'screwdriver_2_2' 'apple_5_4'],[0.26 0.55 0.43 0.55 0.5 ],[0.26 0.54 0.38 0.55 0.47],[0.26 0.55 0.4  0.55 0.48],[0.53 0.46 0.49 0.51 0.61],[0.39 0.51 0.45 0.53 0.55]
480,"JOINS PAGES OF PAPERS USE IN HOME,OFFICE,BUSSINESS ETC.",stapler_2_1,1,[1 2 3 0 4],marker_4_4,"['stapler_2_1' 'food_can_1_4' 'measuring_tape_4_1' 'marker_4_4'
 'hammer_3_2']",[0.44 0.52 0.42 0.34 0.46],[0.42 0.39 0.58 0.43 0.63],[0.43 0.46 0.5  0.39 0.54],[0.2  0.44 0.32 0.28 0.46],[0.32 0.45 0.41 0.34 0.5 ]
481,flat surface can move the cursor to different items on the screen.,mouse_1_1,0,[0 3 4 1 2],mouse_1_1,"['mouse_1_1' 'cell_phone_2_2' 'scissors_1_3' 'picture_frame_5_3'
 'measuring_tape_2_1']",[0.4  0.51 0.52 0.44 0.46],[0.34 0.51 0.53 0.49 0.56],[0.37 0.51 0.52 0.46 0.51],[0.34 0.42 0.46 0.4  0.4 ],[0.35 0.47 0.49 0.43 0.46]
482,a black stapler,stapler_2_1,0,[0 2 4 3 1],stapler_2_1,['stapler_2_1' 'lemon_5_3' 'apple_1_5' 'pencil_1_3' 'measuring_tape_1_1'],[0.12 0.47 0.66 0.69 0.44],[0.2  0.41 0.78 0.65 0.33],[0.16 0.44 0.72 0.67 0.39],[0.31 0.64 0.63 0.58 0.44],[0.24 0.54 0.68 0.62 0.41]
483,a black wired computer mouse,mouse_1_1,0,[0 3 2 1 4],mouse_1_1,"['mouse_1_1' 'measuring_tape_1_3' 'measuring_tape_2_1' 'allen_wrench_3_3'
 'water_bottle_1_4']",[0.24 0.43 0.4  0.43 0.63],[0.23 0.48 0.49 0.44 0.62],[0.24 0.46 0.44 0.44 0.63],[0.42 0.45 0.44 0.46 0.55],[0.33 0.45 0.44 0.45 0.59]
484,This is a medium sized black stapler.,stapler_2_1,0,[0 1 2 3 4],stapler_2_1,['stapler_2_1' 'pencil_1_1' 'lemon_1_4' 'coffee_mug_5_1' 'hammer_4_2'],[0.13 0.49 0.62 0.63 0.66],[0.16 0.39 0.55 0.59 0.68],[0.15 0.44 0.58 0.61 0.67],[0.3  0.46 0.44 0.43 0.36],[0.22 0.45 0.51 0.52 0.52]
485,This is a black computer mouse requiring a USB port.,mouse_1_1,0,[0 2 4 1 3],mouse_1_1,['mouse_1_1' 'pencil_3_4' 'water_bottle_1_4' 'toothpaste_1_3' 'lemon_5_3'],[0.26 0.57 0.67 0.54 0.64],[0.24 0.55 0.64 0.55 0.63],[0.25 0.56 0.66 0.55 0.64],[0.33 0.44 0.49 0.34 0.44],[0.29 0.5  0.57 0.44 0.54]
486,The object is a black stapler.,stapler_2_1,0,[0 1 2 3 4],stapler_2_1,['stapler_2_1' 'marker_3_1' 'lemon_5_3' 'hammer_3_2' 'coffee_mug_3_1'],[0.1  0.4  0.5  0.47 0.66],[0.17 0.29 0.46 0.54 0.69],[0.13 0.34 0.48 0.51 0.68],[0.26 0.36 0.64 0.58 0.66],[0.2  0.35 0.56 0.54 0.67]
487,"The object is a wired, USB computer mouse.",mouse_1_1,0,[0 1 4 2 3],mouse_1_1,"['mouse_1_1' 'scissors_4_1' 'bell_pepper_2_1' 'picture_frame_1_2'
 'screwdriver_2_2']",[0.31 0.48 0.55 0.46 0.49],[0.28 0.45 0.51 0.48 0.55],[0.3  0.46 0.53 0.47 0.52],[0.39 0.35 0.53 0.47 0.5 ],[0.34 0.4  0.53 0.47 0.51]
488,This is a black stapler.,stapler_2_1,0,[0 1 2 4 3],stapler_2_1,"['stapler_2_1' 'picture_frame_5_3' 'hammer_2_4' 'toothbrush_2_1'
 'screwdriver_3_3']",[0.1  0.57 0.49 0.62 0.43],[0.19 0.47 0.59 0.61 0.74],[0.15 0.52 0.54 0.61 0.58],[0.37 0.34 0.45 0.46 0.41],[0.26 0.43 0.5  0.54 0.5 ]
489,This is a black computer mouse.,mouse_1_1,0,[0 2 1 3 4],mouse_1_1,['mouse_1_1' 'apple_1_5' 'picture_frame_2_1' 'sponge_2_4' 'bowl_1_4'],[0.3  0.49 0.39 0.59 0.64],[0.23 0.49 0.46 0.57 0.64],[0.27 0.49 0.43 0.58 0.64],[0.27 0.37 0.36 0.51 0.41],[0.27 0.43 0.39 0.55 0.53]
490,This is a can of black beans.,food_can_2_2,0,[0 4 1 3 2],food_can_2_2,"['food_can_2_2' 'marker_1_2' 'band_aid_1_1' 'picture_frame_5_3'
 'onion_4_4']",[0.09 0.52 0.38 0.59 0.54],[0.09 0.58 0.37 0.49 0.31],[0.09 0.55 0.37 0.54 0.43],[0.31 0.49 0.34 0.4  0.45],[0.2  0.52 0.36 0.47 0.44]
491,"It is a can of food. Specifically, it has beans inside the can.",food_can_2_2,0,[0 4 3 2 1],food_can_2_2,"['food_can_2_2' 'lime_4_2' 'screwdriver_5_1' 'notebook_1_1'
 'prescription_medicine_bottle_3_4']",[0.14 0.73 0.64 0.61 0.46],[0.11 0.65 0.64 0.63 0.49],[0.12 0.69 0.64 0.62 0.47],[0.42 0.6  0.45 0.43 0.41],[0.27 0.65 0.55 0.52 0.44]
492,a can full of beans,food_can_2_2,0,[0 4 1 2 3],food_can_2_2,['food_can_2_2' 'book_4_4' 'spoon_5_4' 'hammer_4_2' 'plate_5_4'],[0.12 0.63 0.58 0.52 0.6 ],[0.1  0.71 0.45 0.52 0.55],[0.11 0.67 0.51 0.52 0.58],[0.41 0.59 0.46 0.32 0.55],[0.26 0.63 0.48 0.42 0.57]
493,It is a can of black beans.,food_can_2_2,0,[0 2 3 4 1],food_can_2_2,"['food_can_2_2' 'lemon_1_4' 'sponge_2_4' 'toothpaste_4_2'
 'medicine_bottle_1_4']",[0.11 0.7  0.72 0.59 0.39],[0.1  0.62 0.65 0.79 0.38],[0.11 0.66 0.68 0.69 0.39],[0.28 0.49 0.45 0.49 0.25],[0.19 0.57 0.56 0.59 0.32]
494,GIVES ENERGY TO OUR BODY.,food_can_2_2,1,[1 2 0 4 3],picture_frame_3_1,['food_can_2_2' 'lemon_4_4' 'picture_frame_3_1' 'pliers_2_3' 'marker_6_3'],[0.39 0.43 0.29 0.57 0.53],[0.41 0.41 0.3  0.51 0.43],[0.4  0.42 0.29 0.54 0.48],[0.29 0.56 0.35 0.37 0.45],[0.34 0.49 0.32 0.45 0.46]
495,On the turntable is an unopened can of black beans.,food_can_2_2,0,[0 1 3 4 2],food_can_2_2,"['food_can_2_2' 'soda_bottle_5_2' 'banana_5_4' 'lemon_2_4'
 'bell_pepper_4_3']",[0.11 0.56 0.51 0.72 0.49],[0.12 0.47 0.54 0.66 0.54],[0.11 0.52 0.53 0.69 0.52],[0.48 0.54 0.49 0.6  0.55],[0.3  0.53 0.51 0.65 0.53]
496,Can of something,food_can_2_2,0,[0 3 4 2 1],food_can_2_2,"['food_can_2_2' 'water_bottle_5_4' 'picture_frame_2_1' 'bell_pepper_3_4'
 'prescription_medicine_bottle_3_3']",[0.26 0.43 0.52 0.38 0.34],[0.25 0.36 0.47 0.35 0.37],[0.26 0.39 0.5  0.37 0.35],[0.33 0.43 0.32 0.58 0.41],[0.29 0.41 0.41 0.48 0.38]
497,a tin can of beans,food_can_2_2,0,[0 4 2 1 3],food_can_2_2,['food_can_2_2' 'lime_2_2' 'apple_1_2' 'stapler_3_2' 'potato_4_1'],[0.09 0.67 0.4  0.42 0.62],[0.11 0.72 0.51 0.49 0.63],[0.1  0.7  0.46 0.46 0.63],[0.49 0.41 0.36 0.38 0.35],[0.3  0.55 0.41 0.42 0.49]
498,This is a can of food. It has a white label.,food_can_2_2,0,[0 1 3 2 4],food_can_2_2,"['food_can_2_2' 'lightbulb_2_2' 'water_bottle_2_4' 'potato_2_1'
 'scissors_5_1']",[0.12 0.37 0.47 0.49 0.49],[0.12 0.43 0.45 0.37 0.58],[0.12 0.4  0.46 0.43 0.54],[0.34 0.49 0.52 0.43 0.47],[0.23 0.45 0.49 0.43 0.51]
499,This is an unopened can of black beans,food_can_2_2,0,[0 3 1 2 4],food_can_2_2,"['food_can_2_2' 'water_bottle_2_4' 'band_aid_2_4' 'medicine_bottle_3_4'
 'pencil_5_2']",[0.08 0.57 0.3  0.44 0.55],[0.11 0.55 0.36 0.43 0.57],[0.1  0.56 0.33 0.43 0.56],[0.45 0.44 0.47 0.53 0.34],[0.27 0.5  0.4  0.48 0.45]
500,It is a lemon with a sticker.,lemon_5_3,0,[0 1 2 3 4],lemon_5_3,"['lemon_5_3' 'flashlight_1_3' 'book_5_4' 'cell_phone_2_2'
 'measuring_tape_5_2']",[0.18 0.4  0.62 0.65 0.66],[0.19 0.77 0.56 0.61 0.61],[0.18 0.58 0.59 0.63 0.63],[0.28 0.38 0.65 0.43 0.48],[0.23 0.48 0.62 0.53 0.56]
501,The object is a box yellow lemon.,lemon_5_3,0,[0 1 4 2 3],lemon_5_3,['lemon_5_3' 'onion_3_4' 'hammer_6_2' 'toothpaste_4_2' 'picture_frame_4_4'],[0.2  0.35 0.58 0.53 0.54],[0.21 0.32 0.53 0.5  0.53],[0.21 0.34 0.55 0.52 0.53],[0.27 0.35 0.44 0.44 0.49],[0.24 0.34 0.5  0.48 0.51]
502,The object is a lemon. It is uncut with a sticker still on the skin.,lemon_5_3,0,[0 1 3 4 2],lemon_5_3,"['lemon_5_3' 'screwdriver_3_3' 'picture_frame_4_2' 'banana_2_3'
 'apple_3_4']",[0.3  0.35 0.41 0.44 0.32],[0.25 0.36 0.44 0.53 0.42],[0.27 0.36 0.43 0.48 0.37],[0.21 0.34 0.58 0.36 0.25],[0.24 0.35 0.5  0.42 0.31]
503,This is a yellow lemon with store label sticker on it.,lemon_5_3,0,[0 4 2 1 3],lemon_5_3,['lemon_5_3' 'mouse_1_1' 'plate_4_2' 'banana_5_4' 'water_bottle_2_3'],[0.19 0.72 0.51 0.5  0.62],[0.17 0.55 0.51 0.52 0.64],[0.18 0.64 0.51 0.51 0.63],[0.21 0.54 0.44 0.47 0.54],[0.19 0.59 0.48 0.49 0.58]
504,It is a yellow lemon.  It is laying on it's side and has a sticker on it.,lemon_5_3,0,[0 1 4 3 2],lemon_5_3,['lemon_5_3' 'potato_3_4' 'syringe_5_1' 'allen_wrench_4_3' 'apple_1_2'],[0.14 0.18 0.53 0.5  0.27],[0.14 0.2  0.41 0.38 0.24],[0.14 0.19 0.47 0.44 0.25],[0.25 0.3  0.38 0.35 0.35],[0.19 0.24 0.43 0.39 0.3 ]
505,this is a lemon.,lemon_5_3,0,[0 1 2 4 3],lemon_5_3,['lemon_5_3' 'lightbulb_4_3' 'onion_2_1' 'toothpaste_2_4' 'band_aid_1_4'],[0.16 0.19 0.41 0.79 0.63],[0.11 0.12 0.34 0.71 0.85],[0.14 0.15 0.38 0.75 0.74],[0.38 0.32 0.39 0.63 0.61],[0.26 0.24 0.38 0.69 0.67]
506,This is a yellow lemon. It has a sticker on it.,lemon_5_3,0,[0 3 1 4 2],lemon_5_3,"['lemon_5_3' 'allen_wrench_3_3' 'bell_pepper_4_3' 'scissors_4_1'
 'spoon_4_2']",[0.14 0.56 0.37 0.58 0.61],[0.15 0.61 0.33 0.61 0.45],[0.15 0.58 0.35 0.59 0.53],[0.27 0.66 0.33 0.52 0.59],[0.21 0.62 0.34 0.56 0.56]
507,This is a standard healthy looking lemon fruit. This is a lemon that still has the manufacturers sticker on it.,lemon_5_3,0,[0 3 4 1 2],lemon_5_3,['lemon_5_3' 'stapler_1_1' 'scissors_4_1' 'lime_1_1' 'banana_1_3'],[0.22 0.52 0.55 0.33 0.38],[0.25 0.55 0.57 0.32 0.42],[0.23 0.53 0.56 0.32 0.4 ],[0.2  0.6  0.64 0.28 0.55],[0.22 0.56 0.6  0.3  0.48]
508,a yellow lemon with sticker,lemon_5_3,0,[0 2 1 4 3],lemon_5_3,"['lemon_5_3' 'potato_2_1' 'bell_pepper_1_1' 'toothpaste_3_1'
 'scissors_6_1']",[0.17 0.47 0.48 0.75 0.68],[0.15 0.54 0.49 0.69 0.56],[0.16 0.5  0.49 0.72 0.62],[0.45 0.45 0.4  0.36 0.37],[0.31 0.47 0.44 0.54 0.5 ]
509,"It is a small, yellow lemon with the sticker still on it.",lemon_5_3,0,[0 2 4 1 3],lemon_5_3,['lemon_5_3' 'pencil_5_2' 'spoon_4_2' 'spoon_2_3' 'scissors_3_3'],[0.18 0.41 0.65 0.48 0.49],[0.17 0.46 0.45 0.34 0.53],[0.18 0.44 0.55 0.41 0.51],[0.27 0.51 0.56 0.42 0.56],[0.22 0.47 0.55 0.42 0.54]
510,its use to eat.,potato_5_1,1,[1 2 3 0 4],cell_phone_1_2,['potato_5_1' 'toothbrush_4_1' 'syringe_4_1' 'cell_phone_1_2' 'lime_4_2'],[0.34 0.42 0.42 0.36 0.6 ],[0.38 0.32 0.47 0.32 0.56],[0.36 0.37 0.45 0.34 0.58],[0.48 0.39 0.31 0.43 0.57],[0.42 0.38 0.38 0.38 0.57]
511,A ripe yam.,potato_5_1,3,[3 2 4 1 0],food_can_3_3,['potato_5_1' 'hammer_3_3' 'pencil_1_1' 'spoon_3_3' 'food_can_3_3'],[0.47 0.38 0.54 0.33 0.31],[0.44 0.44 0.54 0.45 0.38],[0.45 0.41 0.54 0.39 0.34],[0.44 0.4  0.5  0.45 0.46],[0.45 0.4  0.52 0.42 0.4 ]
512,"Object is a starchy, edible tropical tuber with sweet flesh.",potato_5_1,0,[0 4 1 3 2],potato_5_1,"['potato_5_1' 'can_opener_4_4' 'toothbrush_5_3' 'fork_2_3'
 'water_bottle_2_3']",[0.31 0.46 0.44 0.41 0.42],[0.28 0.47 0.42 0.49 0.45],[0.3  0.46 0.43 0.45 0.44],[0.37 0.58 0.51 0.42 0.57],[0.33 0.52 0.47 0.44 0.5 ]
513,a vegetable that grows out of the ground.,potato_5_1,0,[0 2 4 3 1],potato_5_1,['potato_5_1' 'lemon_1_4' 'gauze_2_3' 'can_opener_1_4' 'lightbulb_4_3'],[0.23 0.3  0.61 0.47 0.3 ],[0.26 0.31 0.52 0.49 0.26],[0.24 0.31 0.56 0.48 0.28],[0.42 0.39 0.67 0.42 0.3 ],[0.33 0.35 0.62 0.45 0.29]
514,A large sweet potato,potato_5_1,0,[0 4 2 1 3],potato_5_1,['potato_5_1' 'marker_5_2' 'toothpaste_5_2' 'food_can_3_2' 'pencil_2_1'],[0.13 0.6  0.49 0.5  0.47],[0.14 0.56 0.5  0.46 0.54],[0.14 0.58 0.49 0.48 0.5 ],[0.35 0.45 0.44 0.39 0.4 ],[0.25 0.51 0.46 0.43 0.45]
515,It is a brown potato.,potato_5_1,0,[0 4 3 1 2],potato_5_1,['potato_5_1' 'fork_4_2' 'band_aid_5_3' 'hand_towel_2_3' 'cap_1_2'],[0.11 0.66 0.52 0.35 0.34],[0.12 0.56 0.53 0.47 0.53],[0.11 0.61 0.53 0.41 0.44],[0.31 0.52 0.51 0.37 0.51],[0.21 0.56 0.52 0.39 0.47]
516,"This is a medium sized, uncut, whole yam.",potato_5_1,1,[1 0 3 4 2],lime_5_3,"['potato_5_1' 'lime_5_3' 'prescription_medicine_bottle_1_3' 'pliers_1_3'
 'cell_phone_3_2']",[0.35 0.26 0.47 0.5  0.45],[0.32 0.34 0.55 0.55 0.42],[0.33 0.3  0.51 0.53 0.43],[0.23 0.45 0.52 0.63 0.43],[0.28 0.38 0.52 0.58 0.43]
517,This is a sweet potato or yam,potato_5_1,0,[0 1 2 4 3],potato_5_1,"['potato_5_1' 'bell_pepper_1_1' 'medicine_bottle_1_2' 'scissors_5_1'
 'stapler_1_1']",[0.16 0.25 0.5  0.72 0.49],[0.17 0.23 0.46 0.74 0.49],[0.16 0.24 0.48 0.73 0.49],[0.25 0.38 0.37 0.55 0.44],[0.2  0.31 0.42 0.64 0.46]
518,this is a sweet potato.,potato_5_1,0,[0 2 4 3 1],potato_5_1,"['potato_5_1' 'marker_1_2' 'allen_wrench_3_3' 'pliers_4_1'
 'toothpaste_4_2']",[0.12 0.6  0.72 0.67 0.56],[0.13 0.47 0.68 0.55 0.49],[0.12 0.53 0.7  0.61 0.52],[0.38 0.52 0.65 0.53 0.56],[0.25 0.53 0.68 0.57 0.54]
519,a sweet potato yam,potato_5_1,0,[0 2 1 4 3],potato_5_1,"['potato_5_1' 'food_can_5_2' 'bell_pepper_1_1' 'eye_glasses_4_1'
 'food_jar_3_1']",[0.21 0.44 0.26 0.6  0.46],[0.2  0.45 0.26 0.66 0.47],[0.21 0.44 0.26 0.63 0.47],[0.28 0.4  0.33 0.51 0.38],[0.25 0.42 0.29 0.57 0.42]
520,A yellow banana with some black spots.,banana_5_4,0,[0 4 3 1 2],banana_5_4,"['banana_5_4' 'coffee_mug_3_1' 'coffee_mug_5_1' 'plate_3_4'
 'flashlight_2_1']",[0.28 0.5  0.53 0.49 0.51],[0.29 0.56 0.48 0.4  0.42],[0.28 0.53 0.51 0.45 0.47],[0.4  0.51 0.56 0.38 0.37],[0.34 0.52 0.53 0.41 0.42]
521,"This object is a slightly bruised, ripe, yellow banana.",banana_5_4,0,[0 4 3 1 2],banana_5_4,"['banana_5_4' 'measuring_tape_1_3' 'medicine_bottle_4_2' 'syringe_3_1'
 'flashlight_2_3']",[0.36 0.58 0.49 0.52 0.51],[0.38 0.61 0.62 0.54 0.57],[0.37 0.59 0.56 0.53 0.54],[0.35 0.49 0.38 0.42 0.39],[0.36 0.54 0.47 0.48 0.47]
522,It is a ripe banana.,banana_5_4,0,[0 2 3 1 4],banana_5_4,['banana_5_4' 'tissue_box_1_4' 'syringe_5_1' 'fork_2_3' 'eye_glasses_2_1'],[0.3  0.53 0.54 0.46 0.53],[0.33 0.52 0.52 0.46 0.66],[0.32 0.52 0.53 0.46 0.59],[0.42 0.75 0.55 0.56 0.6 ],[0.37 0.63 0.54 0.51 0.6 ]
523,"This is a fruit, a ripe banana.",banana_5_4,1,[1 3 4 2 0],hammer_6_2,['banana_5_4' 'medicine_bottle_3_4' 'book_3_1' 'pencil_4_4' 'hammer_6_2'],[0.35 0.62 0.58 0.54 0.36],[0.39 0.51 0.59 0.5  0.29],[0.37 0.56 0.58 0.52 0.33],[0.43 0.48 0.55 0.37 0.44],[0.4  0.52 0.57 0.44 0.38]
524,Curved yellow fruit from a tropical tree. Monkeys find them yummy.,banana_5_4,0,[0 2 3 4 1],banana_5_4,"['banana_5_4' 'bowl_5_4' 'water_bottle_2_3' 'water_bottle_5_1'
 'water_bottle_3_3']",[0.32 0.43 0.51 0.56 0.37],[0.38 0.49 0.46 0.46 0.4 ],[0.35 0.46 0.48 0.51 0.39],[0.44 0.35 0.47 0.45 0.46],[0.4  0.41 0.47 0.48 0.42]
525,This is a large banana that is yellow and looks a bit bruised on one end.,banana_5_4,1,[1 4 2 3 0],lightbulb_4_3,['banana_5_4' 'food_can_4_3' 'toothbrush_4_1' 'fork_4_2' 'lightbulb_4_3'],[0.35 0.62 0.52 0.58 0.33],[0.36 0.67 0.44 0.57 0.29],[0.35 0.64 0.48 0.58 0.31],[0.35 0.39 0.35 0.49 0.51],[0.35 0.51 0.41 0.53 0.41]
526,This is a banana with the top cut off and some bruising.,banana_5_4,0,[0 2 4 3 1],banana_5_4,"['banana_5_4' 'water_bottle_1_4' 'onion_4_4' 'food_can_2_1'
 'bell_pepper_3_1']",[0.28 0.44 0.58 0.45 0.38],[0.28 0.46 0.39 0.45 0.4 ],[0.28 0.45 0.48 0.45 0.39],[0.33 0.3  0.42 0.41 0.44],[0.3  0.38 0.45 0.43 0.42]
527,This is a banana that is ripe.,banana_5_4,0,[0 3 4 2 1],banana_5_4,"['banana_5_4' 'medicine_bottle_1_2' 'pencil_1_1' 'cell_phone_2_2'
 'fork_3_4']",[0.31 0.58 0.55 0.54 0.52],[0.34 0.56 0.6  0.55 0.43],[0.32 0.57 0.57 0.54 0.47],[0.3  0.28 0.35 0.43 0.5 ],[0.31 0.42 0.46 0.49 0.49]
